Time,C1C
2022-01-02 00:00:00,22413576.3047
2022-01-02 00:00:30,22403654.7697
2022-01-02 00:01:00,22393795.0107
2022-01-02 00:01:30,22383996.0527
2022-01-02 00:02:00,22374258.8577
2022-01-02 00:02:30,22364585.5757
2022-01-02 00:03:00,22354974.1807
2022-01-02 00:03:30,22345427.0197
2022-01-02 00:04:00,22335942.9557
2022-01-02 00:04:30,22326524.6017
2022-01-02 00:05:00,22317170.8107
2022-01-02 00:05:30,22307882.6127
2022-01-02 00:06:00,22298659.7787
2022-01-02 00:06:30,22289505.2547
2022-01-02 00:07:00,22280416.9397
2022-01-02 00:07:30,22271395.6767
2022-01-02 00:08:00,22262442.8187
2022-01-02 00:08:30,22253558.2977
2022-01-02 00:09:00,22244742.3537
2022-01-02 00:09:30,22235995.7217
2022-01-02 00:10:00,22227319.8067
2022-01-02 00:10:30,22218713.5837
2022-01-02 00:11:00,22210178.2877
2022-01-02 00:11:30,22201714.0117
2022-01-02 00:12:00,22193321.6977
2022-01-02 00:12:30,22185001.0367
2022-01-02 00:13:00,22176754.4537
2022-01-02 00:13:30,22168579.9147
2022-01-02 00:14:00,22160479.3987
2022-01-02 00:14:30,22152451.9057
2022-01-02 00:15:00,22144499.8057
2022-01-02 00:15:30,22136622.2097
2022-01-02 00:16:00,22128820.0047
2022-01-02 00:16:30,22121093.5447
2022-01-02 00:17:00,22113443.4897
2022-01-02 00:17:30,22105869.5067
2022-01-02 00:18:00,22098373.8157
2022-01-02 00:18:30,22090954.8267
2022-01-02 00:19:00,22083613.4847
2022-01-02 00:19:30,22076350.3717
2022-01-02 00:20:00,22069166.3957
2022-01-02 00:20:30,22062061.9207
2022-01-02 00:21:00,22055036.4417
2022-01-02 00:21:30,22048090.9157
2022-01-02 00:22:00,22041226.5247
2022-01-02 00:22:30,22034442.8037
2022-01-02 00:23:00,22027739.9027
2022-01-02 00:23:30,22021118.8327
2022-01-02 00:24:00,22014579.2587
2022-01-02 00:24:30,22008122.3577
2022-01-02 00:25:00,22001747.8417
2022-01-02 00:25:30,21995457.8027
2022-01-02 00:26:00,21989250.3837
2022-01-02 00:26:30,21983126.2307
2022-01-02 00:27:00,21977087.9947
2022-01-02 00:27:30,21971133.3547
2022-01-02 00:28:00,21965263.9447
2022-01-02 00:28:30,21959479.6917
2022-01-02 00:29:00,21953781.3927
2022-01-02 00:29:30,21948170.0117
2022-01-02 00:30:00,21942644.2207
2022-01-02 00:30:30,21937205.2947
2022-01-02 00:31:00,21931853.6527
2022-01-02 00:31:30,21926589.3547
2022-01-02 00:32:00,21921413.1717
2022-01-02 00:32:30,21916325.0717
2022-01-02 00:33:00,21911325.3877
2022-01-02 00:33:30,21906414.5747
2022-01-02 00:34:00,21901593.3577
2022-01-02 00:34:30,21896861.3987
2022-01-02 00:35:00,21892219.2677
2022-01-02 00:35:30,21887666.8667
2022-01-02 00:36:00,21883205.3797
2022-01-02 00:36:30,21878834.9527
2022-01-02 00:37:00,21874554.8917
2022-01-02 00:37:30,21870366.0017
2022-01-02 00:38:00,21866270.1477
2022-01-02 00:38:30,21862264.4587
2022-01-02 00:39:00,21858352.2507
2022-01-02 00:39:30,21854531.8917
2022-01-02 00:40:00,21850805.0307
2022-01-02 00:40:30,21847170.5037
2022-01-02 00:41:00,21843630.3017
2022-01-02 00:41:30,21840182.8007
2022-01-02 00:42:00,21836828.8277
2022-01-02 00:42:30,21833569.8437
2022-01-02 00:43:00,21830404.7067
2022-01-02 00:43:30,21827334.4837
2022-01-02 00:44:00,21824359.5507
2022-01-02 00:44:30,21821479.1207
2022-01-02 00:45:00,21818694.7807
2022-01-02 00:45:30,21816004.9247
2022-01-02 00:46:00,21813411.1547
2022-01-02 00:46:30,21810914.1977
2022-01-02 00:47:00,21808513.0807
2022-01-02 00:47:30,21806208.5207
2022-01-02 00:48:00,21804000.7627
2022-01-02 00:48:30,21801889.8637
2022-01-02 00:49:00,21799876.1607
2022-01-02 00:49:30,21797959.7507
2022-01-02 00:50:00,21796140.6037
2022-01-02 00:50:30,21794419.2277
2022-01-02 00:51:00,21792795.6097
2022-01-02 00:51:30,21791271.0257
2022-01-02 00:52:00,21789843.2477
2022-01-02 00:52:30,21788514.6767
2022-01-02 00:53:00,21787285.3137
2022-01-02 00:53:30,21786153.4287
2022-01-02 00:54:00,21785121.3137
2022-01-02 00:54:30,21784187.7187
2022-01-02 00:55:00,21783353.8377
2022-01-02 00:55:30,21782618.9437
2022-01-02 00:56:00,21781984.4067
2022-01-02 00:56:30,21781448.3127
2022-01-02 00:57:00,21781013.0787
2022-01-02 00:57:30,21780677.4937
2022-01-02 00:58:00,21780441.9877
2022-01-02 00:58:30,21780305.9227
2022-01-02 00:59:00,21780271.1497
2022-01-02 00:59:30,21780336.2827
2022-01-02 01:00:00,21780502.2297
2022-01-02 01:00:30,21780768.3097
2022-01-02 01:01:00,21781134.6377
2022-01-02 01:01:30,21781603.3277
2022-01-02 01:02:00,21782171.6677
2022-01-02 01:02:30,21782841.8087
2022-01-02 01:03:00,21783612.3307
2022-01-02 01:03:30,21784484.7537
2022-01-02 01:04:00,21785457.0377
2022-01-02 01:04:30,21786532.2417
2022-01-02 01:05:00,21787707.1367
2022-01-02 01:05:30,21788984.2897
2022-01-02 01:06:00,21790362.9907
2022-01-02 01:06:30,21791842.8397
2022-01-02 01:07:00,21793423.3007
2022-01-02 01:07:30,21795107.0757
2022-01-02 01:08:00,21796891.5837
2022-01-02 01:08:30,21798777.9767
2022-01-02 01:09:00,21800765.6797
2022-01-02 01:09:30,21802855.1377
2022-01-02 01:10:00,21805046.4817
2022-01-02 01:10:30,21807338.8787
2022-01-02 01:11:00,21809733.5177
2022-01-02 01:11:30,21812229.7937
2022-01-02 01:12:00,21814827.3087
2022-01-02 01:12:30,21817527.1537
2022-01-02 01:13:00,21820328.2977
2022-01-02 01:13:30,21823235.6827
2022-01-02 01:14:00,21826235.5787
2022-01-02 01:14:30,21829341.7157
2022-01-02 01:15:00,21832549.8967
2022-01-02 01:15:30,21835858.6547
2022-01-02 01:16:00,21839269.3107
2022-01-02 01:16:30,21842781.7187
2022-01-02 01:17:00,21846395.4137
2022-01-02 01:17:30,21850110.3827
2022-01-02 01:18:00,21853926.1967
2022-01-02 01:18:30,21857843.8237
2022-01-02 01:19:00,21861862.5727
2022-01-02 01:19:30,21865982.2397
2022-01-02 01:20:00,21870202.3157
2022-01-02 01:20:30,21874524.1387
2022-01-02 01:21:00,21878946.1817
2022-01-02 01:21:30,21883469.7317
2022-01-02 01:22:00,21888093.2047
2022-01-02 01:22:30,21892818.3647
2022-01-02 01:23:00,21897642.8707
2022-01-02 01:23:30,21902568.1457
2022-01-02 01:24:00,21907592.7757
2022-01-02 01:24:30,21912718.9807
2022-01-02 01:25:00,21917944.3787
2022-01-02 01:25:30,21923269.5997
2022-01-02 01:26:00,21928694.6787
2022-01-02 01:26:30,21934219.7237
2022-01-02 01:27:00,21939843.6967
